序號,問題分類,問題,答案
23,打卡 (班別、系統、異常處理),休假日回公司拿東西，就太順手逼卡了，要怎麼處理?系統顯示休息日加班,若確實為誤刷卡，可發信與人資單位說明原由，個案處理。
24,打卡 (班別、系統、異常處理),病假要請半天，不小心填成一整天怎麼辦?,尚未核准可請關卡主管駁回，若已核准則可上銷假單取消假單。
25,打卡 (班別、系統、異常處理),出勤結算期間已過，想修改時間?,系統已關帳，則無法異動關帳日期前的表單。
26,打卡 (班別、系統、異常處理),原本有考勤異常，以為是沒感應到，結果系統又出現打卡的時間，可否麻煩撤單,因線上補卡單視同打卡紀錄，無法刪除。
27,打卡 (班別、系統、異常處理),每天都有打卡，但系統沒有進去要怎麼辦?我明明就有打卡,因系統若是故障，是所有員工皆會顯示異常，目前確認當天無異常，建議日後若覺得卡片有問題，可每天打卡時拍照，屆時提供給人資單位作為依據。
28,打卡 (班別、系統、異常處理),離職同仁是上夜班，卡片怎麼辦?系統會在何時關掉權限?,卡片歸還可由同仁代為轉交或隔天進公司繳回，系統權限關閉一般在離職當天，若當天還有使用需求，可通知關主延後關閉權限。
29,打卡 (班別、系統、異常處理),申請離職如果主管一直壓著不簽離職單怎麼辦?到時可以直接走人嗎?,一般來說並不會有主管壓著不簽的情況，建議可以提醒主管盡快簽核。
30,打卡 (班別、系統、異常處理),產檢假特殊對象要填什麼?,填寫申請人本人姓名即可。
31,打卡 (班別、系統、異常處理),單位沒有其他人，系統沒有職務代理人可以選?怎麼辦?,可告知人資單位要設定誰為代理人，人資單位會協助設定。
32,打卡 (班別、系統、異常處理),有重新匯入班表，可以幫我手動重抓HR系統嗎?,告知人資單位後會協助更新。
33,打卡 (班別、系統、異常處理),寵物門市不能打卡在詢問，大概需要多久？HR系統在升級還是？,升級一般約半小時至2小時不定，可洽詢人資單位或稍後在嘗試。
34,打卡 (班別、系統、異常處理),10月份到職，是不是2月就可以有特休了?,滿半年會有3天特休。
35,打卡 (班別、系統、異常處理),有收到系統提醒新人試用期要到了，要怎麼辦?,每月初人資單位會發信給即將試用期滿人員的直屬長官試用期評核表，填寫回傳即可。
36,打卡 (班別、系統、異常處理),現在還可以申請遠距上班嗎?,現在已取消遠距上班申請，若需申請整天遠距，需有陳總同意遠距簽呈。
38,打卡 (班別、系統、異常處理),離職最晚何時要提出申請?,"系統最晚須3天-一週前上單跑流程,3天內無法上單，請洽詢人資個案單位。"
39,打卡 (班別、系統、異常處理),已經跟主管提離職了，我還需要注意什麼?,"離職的注意事項1.離職日當天下班要將門禁卡識別證卡套卡帶整組繳回人資處(若離職日遇假日，則在最後工作日繳回)。 2.特補休要用可以正常使用，用不完會換成未休假代金在次次月薪資內 。 3.在離職日前務必檢核完HR系統的出缺勤狀況，紅字都須處理，離職日在月底在月中薪資結算關帳前要處理完 (若為外勤/經理級以上不需打卡，則不需要檢核)。 4.有申請離職證明跟勞健保轉出證明會在離職後跑用印，用印完會掛號寄戶籍地址，若要修改地址可以在繳回門禁卡時跟人資拿信封，填寫寄送地址，用印完成後會用此信封寄出。"
40,打卡 (班別、系統、異常處理),離職時要繳回的識別證不見怎麼辦?,"建議仔細找找,若整組不見，會由薪資內扣繳500元識別證費用。"
41,打卡 (班別、系統、異常處理),離職證明可以離職當天拿到嗎?,一般都是離職日後才會開始跑用印流程，跑完用印後會掛號寄戶籍地址。
42,打卡 (班別、系統、異常處理),超休怎麼辦?,超休需將班表內超休日期調整回正常上班日，並用自假補回。
43,打卡 (班別、系統、異常處理),因為二月有一週過年休假，如果有小朋友要三月初，或是三月中畢業，會建議他們何時送單較好？或是最晚不要超過何時送？,已確定會離職，可直接送線上離職單，系統最晚3天到1週前務必上單。
44,打卡 (班別、系統、異常處理),如果跨年12/31那天，因為弄跨年影片比較晚，有需要報加班的話，是要報12/31?還是1/1?,依照班表內班表申請加班，線上最多1天工作時數不得超過12小時。
45,打卡 (班別、系統、異常處理),"請問一下 我們公司 一個月最多加班幾個小時？不能超過45小時 或是 54小時？",一個月不得超過46小時，如事業單位無工會者，經勞資會議同意後，延長工作時間得採3個月總量管控，但1個月不得超過54小時，每3個月不得超過138小時。
46,打卡 (班別、系統、異常處理),請問假設同仁今天排休息日，再整日報加班補休(打卡紀錄為整日)，今天下午還能再請病假嗎？,當日為休假日，則不需要申請整天加班，不需另外申請病假，但需確認為何請病假還會有整天打卡紀錄??
47,打卡 (班別、系統、異常處理),2/8開始放假 2/10 2/11算例假日還是特殊日,年排班同仁2/10為休息日，2/11為例假日，排班同仁依照自己班表為主。
48,打卡 (班別、系統、異常處理),有更名要怎麼辦?,將更名的戶口名簿提供給人資單位，將協助系統更新。
49,薪資/工作規章,為什麼薪資突然有代扣所得稅，是公司新制?,提供員工編號給人資單位查詢，薪資到達一定金額才會有代扣所得稅問題產生。
50,薪資/工作規章,薪資單怎麼打不開?顯示密碼錯誤?,首次登錄薪資單，預設密碼為空白，需先至電腦版HR系統內變更薪資單密碼後用新密碼登錄，已經變更過密碼無法登錄則可洽詢人資單位變更新密碼。
51,薪資/工作規章,HR系統薪資單輸入密碼之後完全沒跳出任何視窗，也沒反應?,可能是電腦內有安全防火牆阻擋，建議可以將網址設定內的隱私權和安全性後開啟後在嘗試。
52,薪資/工作規章,薪資發放區間是何時?,薪資發放週期為1號到30號。
53,薪資/工作規章,薪資考勤結算區間是何時?,考勤結算區間為上月21號到當月20號，例:3/5發的薪水，考勤結算區間為1/21-2/20，薪水發放區間為2/1-2/29。
54,薪資/工作規章,幾號發薪水?,每月5號，遇假日提前。
55,薪資/工作規章,幾號發獎金?,每月15號，遇假日提前。
56,薪資/工作規章,新進工讀生的薪水不對?,工讀生薪資及考勤結算區間為上月21號到當月20號。
57,薪資/工作規章,工讀生打卡也是半小時為單位嗎?,以15分鐘為單位。
58,薪資/工作規章,工讀生可以使用特休嗎?,工讀生有特休，但無需使用，因工讀生以打卡紀錄計算薪水，若當天沒有打卡紀錄則無薪水，特休到期後會自動結算成為休假代金。
59,薪資/工作規章,加班費怎麼算的?,"勞動基準法第24條第1項：如雇主有使勞工每日工作時間超過8小時者，或每週工作超過40小時者，應依法給付加班費，其標準為： (1)延長工作時間在2小時以內者，按平日每小時工資額加給3分之1以上。(2)再延長工作時間在2小時以內者，按平日每小時工資額加給3分之2以上。"
60,薪資/工作規章,年終是1個月嗎?,依照考核結果為主。
61,職務延伸 (留職停薪、教育訓練),留職停薪怎麼申請?,經單位主管同意後，先通知人資單位出表單，之後約領取表單時間，會在告知後續相關流程。
62,職務延伸 (留職停薪、教育訓練),育嬰留停津貼公司能否協助申請?,可以，人資單位會提供相關表單協助申請。
63,職務延伸 (留職停薪、教育訓練),留職停薪可以不要1個月嗎?我想申請4個月10天這樣可以嗎?,留職停薪日期請與單位主管確認後在與人資單位提出申請。
64,職務延伸 (留職停薪、教育訓練),原定回歸的留職停薪同仁，想要下一站去打工度假惹，所以就不回歸了，後續怎麼作業?,直屬長官發信告知人資單位(並cc部門長官)，不復職歸檔原由，人資處會將信件留檔並處理後續行政流程(卡片是否歸還、特休是否結清、帳號是否關閉)
65,職務延伸 (留職停薪、教育訓練),留職停薪的人不回來，編制足夠可以補人嗎?,因人事凍結中，要補人需有陳總同意聘用文件(簽呈、信件、line同意皆可做為依據)
66,其他(保險、請款、特殊狀況:九合一大選),詢問總統大選外部工讀生加保問題?請款問題?,請窗口將當天外部工讀生相關資料MAIL給人資單位進行投保，請款問題應是走勞報單，可在與財務單位確認。
67,其他(保險、請款、特殊狀況:九合一大選),健保眷屬想要跟著加保在公司，怎麼申請?,可以的，將眷屬相關資料及健保卡MAIL給人資單位進行加保。
68,其他(保險、請款、特殊狀況:九合一大選),家人勞保也可以掛公司嗎?,眷屬勞保部分無法加保在公司。
69,其他(保險、請款、特殊狀況:九合一大選),想申請勞退自提?勞退自提申請書怎麼填寫?,跟人資單位索取相關表單填寫後繳回，將協助勞退自提處理。
70,其他(保險、請款、特殊狀況:九合一大選),2013年離職員工想申請服務證明書，怎麼處理?,發信件與人資單位申請離職證明即可。
71,其他(保險、請款、特殊狀況:九合一大選),申請研究所需提供在職證明，在職證明怎麼申請?,發信件與人資單位說明申請在職證明原由並提出申請即可。
72,其他(保險、請款、特殊狀況:九合一大選),新聘情商測試有一項不及格怎麼辦?還能錄用嗎?,可以的，情商測驗只是聘用的其中一項參考依據。
73,其他(保險、請款、特殊狀況:九合一大選),外國人工作證是由公司申請還是個人申請?,由人資單位與外籍同仁相約填寫及繳交相關文件，後協助申請及繳費。
74,其他(保險、請款、特殊狀況:九合一大選),單位編制現在是多少?能否送聘?,目前人事凍結中，若需送聘需先經陳總同意後方可送件。
75,其他(保險、請款、特殊狀況:九合一大選),單位轉調是新單位送單還是舊單位送單?,新單位送件並會辦舊單位主管。
76,其他(保險、請款、特殊狀況:九合一大選),我們研發中心的組織架構圖 你那邊有嗎？可以提供給我嗎?,有的，其實公司有組織異動都會發信通知，可搜尋信件或HR系統佈告欄，皆能查詢到組織圖。
77,其他(保險、請款、特殊狀況:九合一大選),如果我把幾個 gmail 的信箱帳號給你，你有權限可以查看看 是否是我們公司同仁的E-mail 嗎？,說明原由後，可以提供名單給人資單位查詢。
78,其他(保險、請款、特殊狀況:九合一大選),能提供單位2022年9月-12月，和2023年9月-12月的人員名單嗎?想要確認人力,若為單位長官提出申請，可以提供單位名單供參。
79,其他(保險、請款、特殊狀況:九合一大選),請幫我查詢某一位同仁的分機,人資單位直接提供或上HR系統通訊錄自行查詢皆可。
80,其他(保險、請款、特殊狀況:九合一大選),更換專案經理一案，需提供勞保投保資料?請協助提供,說明申請事由，將由人資單位提供。
81,其他(保險、請款、特殊狀況:九合一大選),外國人工作證費用是員工負擔還是公司?,公司負擔。
82,其他(保險、請款、特殊狀況:九合一大選),外籍同仁居留證過期怎麼辦?,可在過期前跟公司申請在職證明去居留地服務站、專勤隊辦哩，逾期10日以下者，處新台幣2000元罰鍰。
83,休假 (事、病、特、婚、喪),員工13歲小孩去世，喪假怎麼請，職福會一等親津貼能否申請？,喪假請至HR系統填寫假單，並附上訃聞，職福會津貼則至HR系統佈告欄下載職福會表單後繳交至人資單位。
84,休假 (事、病、特、婚、喪),喪假請假要附訃聞證明，不過我們有小朋友的阿嬤，家裡一切從簡，是連訃聞都沒有的，怎麼辦?,喪假無訃聞，可附上死亡證明，並提供關係的佐證依據。
85,休假 (事、病、特、婚、喪),姐姐去世可以請幾天喪假?,曾祖父母、兄弟姊妹、配偶之祖父母喪亡者，給予喪假三日，工資照給。
86,休假 (事、病、特、婚、喪),舅舅去世能用喪假嗎?,舅舅無喪假申請，可用自假(特休、補休、事假)申請。
87,休假 (事、病、特、婚、喪),婚假有幾天?多久要用完?,婚假有8天，3個月內休畢。
88,休假 (事、病、特、婚、喪),婚假已經過期了怎麼辦?,已過期婚假若有特殊理由，可上簽呈說明申請，經陳總核准方可延長。
89,休假 (事、病、特、婚、喪),產假怎麼申請?,經單位主管同意後上HR系統填寫假單。
90,休假 (事、病、特、婚、喪),特休沒用完怎麼辦?,特休沒用完會換成未休假代金。
91,休假 (事、病、特、婚、喪),補休沒用完怎麼辦?,補休沒用完會換成申請當天的加班費。
92,休假 (事、病、特、婚、喪),我喪假沒用完可以換錢嗎?,無法換成費用，務必在百日內休畢。
93,員工福利 (急難救助、三節、生日會、員購、團保),上周完成結婚登記，想詢問公司是否有提供結婚補助？如有，需要提供什麼資料申請呢？,職福會補助項目在HR系統佈告欄有表單可以下載填寫，填寫完後附上相關文件繳交至人資單位即可。
96,員工福利 (急難救助、三節、生日會、員購、團保),團保要怎麼申請?,與人資單位保險承辦窗口聯繫，說明原由後會告知相關流程。
97,員工福利 (急難救助、三節、生日會、員購、團保),為什麼去年沒有中秋節禮金?,因去年舉辦大型中秋活動，故無提供中秋禮金。
98,員工福利 (急難救助、三節、生日會、員購、團保),公司有三節禮金嗎?,每年依上級長官指示，有可能是禮金、禮盒、活動…等。
99,員工福利 (急難救助、三節、生日會、員購、團保),姐姐去世公司有津貼能申請嗎?,職福會補助【一等親】喪亡津貼。
100,員工福利 (急難救助、三節、生日會、員購、團保),家人死亡，公司有什麼補助嗎?,職福會補助【一等親】喪亡津貼。
101,員工福利 (急難救助、三節、生日會、員購、團保),生小孩有什麼補助嗎?,職福會補助【生育津貼】在HR系統佈告欄有表單可以下載填寫，填寫完後附上相關文件繳交至人資單位即可。
102,員工福利 (急難救助、三節、生日會、員購、團保),急難救助怎麼申請?,由單位長官告知人資主管詳情，確認是否符合急難救助申請資格，會在告知需提供的文件與資料。
103,員工福利 (急難救助、三節、生日會、員購、團保),公司慶生會是何時?,慶生會依照總務信件公告日期為主，有時會連同大型活動一起舉辦。
104,員工福利 (急難救助、三節、生日會、員購、團保),公司慶生會工讀生可以吃嗎?,公司全體員工皆有。
105,員工福利 (急難救助、三節、生日會、員購、團保),無肉日是什麼?,ETtoday無肉日，將每月的22號訂為無肉日，鼓勵同仁無肉吃蔬食，並減少免洗餐具的使用，因此，每月的22號前公司將開放同仁們訂購無肉便當，歡迎大家一齊為減碳、減廢出一份力👊
106,員工福利 (急難救助、三節、生日會、員購、團保),無肉日是大家都可以點餐嗎?,"總務會發放訂購系統，若可以填寫代表符合資格 訂購系統網址：https://st.ettoday.net/bento2022/login.php7 （登入後僅能看到所屬辦公區塊的訂單）"
107,員工福利 (急難救助、三節、生日會、員購、團保),我是新進員工，也會有生日禮金嗎?,在當月生日禮金發上減40天內到職者，會有生日禮金，例:2024/3/26發放3月生日禮金，則2024/2/15前到職員工即符合3月壽星生日禮金資格。
108,員工福利 (急難救助、三節、生日會、員購、團保),東購app員購價格為什麼還比較貴?,東購員工價格有些仍會比會員價優惠，需看商品項目並依照app上金額為主。
109,員工福利 (急難救助、三節、生日會、員購、團保),公司有那些津貼可以申請?,職福會補助項目在HR系統佈告欄有表單可以下載填寫，填寫完後附上相關文件繳交至人資單位即可。
110,員工福利 (急難救助、三節、生日會、員購、團保),公司健康檢查是何時?,每年不定期舉辦，請依照人資單位發信件通知日期為主。
111,員工福利 (急難救助、三節、生日會、員購、團保),公司健康是每個人都可以參加嗎?補助金額是多少?,補助金額及條件，請依照人資單位發送的信件為主。
112,員工福利 (急難救助、三節、生日會、員購、團保),家人可以保團保嗎?,公司有員工自費團保，可依照每年人資單位信件方案選擇是否自費團保。
113,員工福利 (急難救助、三節、生日會、員購、團保),東森提貨卷在APP沒有看到??,公司發放的提貨卷，會以手機簡訊發送序號，在至APP兌換即可。
114,員工福利 (急難救助、三節、生日會、員購、團保),點八號的卷怎麼使用?,可至點八號門市進行使用。
115,員工福利 (急難救助、三節、生日會、員購、團保),沒有收到東森提貨卷簡訊怎麼辦?,提供給人資單位手機號碼及姓名，會與東購窗口連繫，補發序號。
116,員工福利 (急難救助、三節、生日會、員購、團保),東森提貨卷是實體還是電子?,電子，將以簡訊發送序號方式到手機。
117,霸凌、騷擾 (法務規章、申訴管道),遇到騷擾怎麼辦?,"(1)申訴專線：(02)12345678  (2)申訴 mail@abc.com (3)書面申訴信箱：臺北市忠孝東路1230號 詳情可參考HR系統公告「性騷擾防治措施、申訴及懲戒辦法」"
118,系統使用 (工單系統、EZFLOW、104、信箱),EZFLOW簽呈怎麼寫?,1.如要申請遠距上班、婚假展延說明原由，申請時間，並請示上級是否同意2.有範例可提供範例供參
119,系統使用 (工單系統、EZFLOW、105、信箱),EZFLOW怎麼登錄?,可至HR系統查詢網址，輸入員工編號及密碼登錄。
120,系統使用 (工單系統、EZFLOW、106、信箱),EZ忘記密碼一直收不到信怎麼辦?,與人資單位洽詢，會協助處理。
121,系統使用 (工單系統、EZFLOW、107、信箱),量子娛樂同仁想開星光EZ帳號，怎麼申請?,發信給人資單位，說明申請原由，將協助申請。
122,系統使用 (工單系統、EZFLOW、108、信箱),EZFLOW流程好像怪怪的，要找誰反應?,發信給人資單位，會協助確認。
123,系統使用 (工單系統、EZFLOW、109、信箱),工讀生可以申請EZFLOW帳號嗎?,發信給人資單位，說明申請原由，將協助申請。
124,系統使用 (工單系統、EZFLOW、110、信箱),工讀生沒有帳號要怎麼填寫EZFLOW離職權限關閉單?,"一般由單位直屬長官代為申請，或有長官指派單位正職協助申請。"
125,系統使用 (工單系統、EZFLOW、111、信箱),請款單要去哪邊填寫?,EZFLOW網址: https://ezfl6.emic.com.tw/EFNET/Default.htm
126,系統使用 (工單系統、EZFLOW、112、信箱),識別證遺失了怎麼辦?,"可上EZFLOW填寫名片申請單，會有費用500元產生。網址: https://ezfl6.emic.com.tw/EFNET/Default.htm"
127,系統使用 (工單系統、EZFLOW、113、信箱),要聘請新進員工，聘用單怎麼填寫?,聘用表單填寫在EZFLOW裡，送聘用需繳交的資料可參考HR系統佈告欄內說明。
128,系統使用 (工單系統、EZFLOW、114、信箱),104職務刊登怎麼調整內文?,上HR系統佈告欄下載104職務刊登表，將職務刊登表MAIL給人資協助上刊。
129,系統使用 (工單系統、EZFLOW、115、信箱),我收到的104自訂配對人選，其中有想要找來面試的，我要如何可撈到資料? 因為信件裡只有簡歷沒有通訊資料,與人資單位提出申請，開通104帳號，因104帳號有數量限制，故找到人選，請通知人資單位關閉帳號。
130,系統使用 (工單系統、EZFLOW、116、信箱),我們單位想找新人，請問104刊登要怎麼用?,上HR系統佈告欄下載104職務刊登表，將職務刊登表MAIL給人資協助調整。
131,系統使用 (工單系統、EZFLOW、117、信箱),已經不用找人了，104可以幫我關閉嗎?,發信給人資單位協助關閉。
132,系統使用 (工單系統、EZFLOW、118、信箱),公司信箱群組窗口是誰?要變更設定怎麼辦?,由資訊單位處理，電話可洽分機8002。
133,系統使用 (工單系統、EZFLOW、119、信箱),新進員工信箱跟帳號申請?是人資要處理嗎?,由單位自行上派工系統填寫【電子信箱申請異動單】。
134,系統使用 (工單系統、EZFLOW、120、信箱),工單網址在哪?怎麼填寫?,派工系統網址:https://editor.ettoday.net/approval_system/web/index.php7
135,系統使用 (工單系統、EZFLOW、121、信箱),工單問題要找誰?,找資訊單位。
136,系統使用 (工單系統、EZFLOW、122、信箱),編採排班系統，好像沒有N07的班表，若要有N07出現是需要跟資訊部說嗎?,若是現有班別，可請資訊同仁調整
137,系統使用 (工單系統、EZFLOW、123、信箱),工讀生送聘用跟正職一樣嗎?,與正職大同小異，可上HR系統聘用相關說明查詢。
138,系統使用 (工單系統、EZFLOW、124、信箱),有部門主管已經離職，之前送的請款單卡住，怎麼辦?,與人資單位聯繫，協助調整關卡。
